order_id,customer_id,product,quantity,unit_price,total_amount,order_date,status,discount_percent,sales_rep
1,205,Training,58,886.56,46278.43,2023-06-09,delivered,10,Rep37
2,434,Software License,97,428.31,33236.86,2023-09-07,shipped,20,Rep12
3,646,Training,12,50.03,510.31,2023-03-21,shipped,15,Rep44
4,664,Maintenance,92,163.52,12035.07,2022-08-18,delivered,20,Rep41
5,538,Software License,38,473.54,15295.34,2023-10-25,pending,15,Rep20
6,131,Maintenance,39,843.12,27949.43,2022-06-02,cancelled,15,Rep19
7,49,Hardware,10,918.13,9181.3,2023-08-06,cancelled,0,Rep33
8,423,Software License,60,664.25,35869.5,2023-03-12,cancelled,10,Rep23
9,600,Software License,99,508.41,42782.7,2022-09-18,pending,15,Rep12
10,864,Training,6,92.46,499.28,2022-07-06,shipped,10,Rep38
11,776,Maintenance,58,627.57,32759.15,2023-04-11,shipped,10,Rep12
12,190,Software License,96,982.36,94306.56,2022-08-05,shipped,0,Rep28
13,19,Software License,51,125.51,5440.86,2023-07-02,processing,15,Rep30
14,415,Maintenance,96,605.87,52347.17,2023-12-10,delivered,10,Rep40
15,370,Maintenance,87,963.51,75442.83,2023-09-24,delivered,10,Rep6
16,139,Software License,25,120.79,2868.76,2022-05-09,pending,5,Rep2
17,493,Maintenance,19,653.24,9929.25,2022-08-03,delivered,20,Rep13
18,309,Training,19,479.25,9105.75,2022-03-30,pending,0,Rep11
19,757,Maintenance,57,964.23,54961.11,2022-06-06,delivered,0,Rep29
20,249,Consulting,38,573.74,21802.12,2023-08-23,delivered,0,Rep22
21,106,Maintenance,92,437.47,34210.15,2022-01-09,delivered,15,Rep48
22,611,Maintenance,71,999.04,60292.06,2023-08-16,pending,15,Rep26
23,526,Hardware,93,615.38,54368.82,2023-05-13,delivered,5,Rep46
24,541,Software License,55,580.64,31935.2,2022-03-04,cancelled,0,Rep18
25,428,Training,15,499.84,6372.96,2023-10-26,shipped,15,Rep45
26,22,Consulting,37,728.95,24274.04,2023-03-23,delivered,10,Rep29
